"","StartupName","name","designation","otherInfo","education","skills","markets"
"20","zoom","davidback","Co-Founder, President","Founder @Zoom • Worked at @Goldman Sachs, @McKinsey & Company","","","Bengaluru"
"22","mygola-com","anshumanbapna","","Co-founder, CEO@mygola.com. Second startup. Ex-Googler. IIT + @Stanford University bschool alum.","Stanford University","",""
"23","stepout","adamsachs","","Team member of @Ignighter.","","",""
"24","stepout","danielosit","","","Northwestern University","Asia; New York City; Silicon Valley",""
"25","stepout","kevinowocki","","i spin bits for fun and profit; watch out for my megabyte","University of Delaware","","PHP; LAMP; jQuery; AJAX; HTML"
"26","cleartax","architgupta","","Founder, CEO of ClearTax (TurboTax for India). BTech IIT, MS UW Madison.","","",""
"27","cleartax","ankitsolanki","","","","",""
"28","zendrive","pankajrisbood","","VP Engineering @Zendrive. Previously @Walmatlabs, Google, Bell Labs• Studied at @Indian Institute of Science. Expertise in large scale systems and big data.","Indian Institute of Science","",""
"30","silverpush","muditseth","","Serial Entrepreneur. Buit and sold company. 
Angel Investor.","","","San Francisco; India; Silicon Valley"
"31","must-see-india","vikasrana","CEO","CEO & Co-founder Must See India • Worked at @Trilogy • Studied at @Indian Institute of Technology - Delhi","Indian Institute of Technology - Delhi","Bengaluru",""
"32","must-see-india","karannahata","CTO","Founder @Must See India • Worked at @Trilogy • Studied at @Netaji Subhas Institute of Technology","Netaji Subhas Institute of Technology","",""
"34","videogram","sandeepcasi","","Virtual Reality @General Motors , Led System Group @Industrial Light & Magic, Research Scientist @Fuji Xerox PAL, DCinema @Fujifilm, Founder @cinemacraft","","Silicon Valley; Japan",""
"36","videogram","rahulgolecha","Co-Founder, VP of Engineering","Co-Founder & VP of Engineering @ Cinemacraft | Videogram 
B.Tech in Computer Science from IIT Delhi","","",""
"37","drip-capital","pushkarmukewar","","Co-Founder @Drip • Worked at @Capital One, @Oliver Wyman • Studied at @Wharton School, @Georgia Institute of Technology","Georgia Institute of Technology; Wharton School","",""
"39","drip-capital","neilkothari","Founder","CoFounder @Drip; Debt Investor @BlackRock @Goldman Sachs; Corp Dev@cisco; CS @Stanford University; MBA @Wharton School","Stanford University; Wharton School","",""
"41","securifi","rammohanmalasani","","Founder Securifi, @Ubiquiti Networks • Studied at @Indian Institute of Technology - Madras, @University of California, San Diego","Indian Institute of Technology - Madras; University of California, San Diego","",""
"42","commonfloor","sumitjain","","CommonFloor.com Co-Founder, Sailor and Worker. Party Lover, Optimistic & Happy :)","Indian Institute Of Technology - Roorkee","",""
"43","commonfloor","vikasmalpani","Founder","Co Founder at CommonFloor","","Bengaluru",""
"44","commonfloor","lalitmangal","Founder","","","",""
"45","semantics3","govindchandrasekhar","","Co-Founder and Master of Search @Semantics3 (YC W13); Engineering @National University of Singapore (NUS).","National University of Singapore","",""
"47","semantics3","vinothgopi","","Founder @Semantics3 • Studied at @National University of Singapore","National University of Singapore","Perl",""
"49","babajob-1","virkashyap","COO","COO and Cofounder at @Babajob, @Bowdoin College Grad, Experience at @Epinions , @Morgan Stanley , Hedge Fund Vega Asset Management","Bowdoin College","",""
"50","babajob-1","virkashyap","COO","COO and Cofounder at @Babajob, @Bowdoin College Grad, Experience at @Epinions , @Morgan Stanley , Hedge Fund Vega Asset Management","Bowdoin College","Bengaluru; India; New York City; Madrid",""
"52","babajob-1","seanblagsvedt","","Founder @Babajob, Babajob • Worked at @Microsoft, @Microsoft Research • Studied at @Brown University","Brown University","",""
"54","walletkit","ramakanthdorai","CTO","Co-Founder @Walletkit","Anna University","Business Development; Business Strategy; Product Development","Clean Technology; Consumer Internet; Enterprise Software; Mobile; Health Care; Social Media; Video; Music; Loyalty Programs; Mobile Coupons; Ticketing; Transportation; Advertising; Big Data"
"55","walletkit","kevinwilliamdavid","CEO","Community @Siftery. No 1 Hunter on @Product Hunt . Lunatic Hustler. Boon companion to startups.","","","User Experience Design; Product Marketing; Product Management; Viral Loops; Product Development; Sales/Marketing and Strategic Partnerships; Sales and Marketing; Sales Strategy and Management; Business Development; Hustler; Growth Hacking; Marketing; Social Media Marketing; Community Management"
"57","razorpay","shashankkumar","Co-founder","","","",""
"58","razorpay","harshilmathur","CEO","","","",""
"59","hackerrank","vivekravisankar","Founder","Co-founder & CEO, HackerRank","","California",""
"61","hackerrank","harishankarank","Founder","Co-founder @ @Interviewstreet, Ex-IBMer, GSOCer,","Nit Trichy","Bengaluru",""
"62","headout","varunkhona","Co-Founder & CEO","Co-founder & CEO at @Headout • Part of @500 Startups • Travel Entrepreneur • Founded first startup in college • Analyst - Listed Derivatives @Goldman Sachs","Bangalore University","Bengaluru",""
"64","headout","surensultania","Co-Founder","Co-founder @Headout • Full time geek • Worked at @Ptolemus Consulting Paris, @24x7 Translines • Studied at @Hec Paris","Hec Paris","South Bay; San Francisco Bay Area",""
"66","headout","vikramjitsingh","Co-Founder & CTO","Co-founder & CTO @Headout • Worked at @Oracle • Studied at @Indian Institute of Technology - Guwahati • Nocturnal coder","Indian Institute of Technology - Guwahati","","Java; HTML; CSS; jQuery; Jax-Rs; MySQL; JSP; JEE; Javascript; Spring; Tomcat"
"67","skillmate","anilkhera","Founder","• Over 30+ years of experience in Managing Large customer accounts , solving customer problems across domains e.g. BFSI , Telecom , working as a Client partner","Niit","","India"
"69","skillmate","gitanshusoni","","Current: Co Founder @Skillmate 
Past: Consultant @KPMG 
Education: PGDM @ Great Lakes Institute of Management, Graduation @University of Delhi","Great Lakes Institute Of Management","","India; Asia; Gurgaon; Bengaluru; Delhi; Bengaluru; Mumbai; Jaipur; Hyderabad; Pune; New Delhi"
"71","punchh","adityasanghi","CTO Co-Founder","","Queensland University Of Technology, Australia","Ruby On Rails","Consumer Internet; Enterprise Software; Mobile"
"73","punchh","shyamrao","CEO","Founder @Punchh","","",""
"74","punchh","jitendragupta","Founder","","","",""
"75","youplus","shaukatshamim","Founder & CEO","Repeat Entrepreneur. Founder @Buysight (acquired by AOL), Founder @Rhythm NewMedia (acquired by Blinkx) . Partner @Neocarta Ventures. Early Yahoo Alum.","University of Texas at Austin","","Product Strategy"
"76","tryscribe","rutikamuchhala","","CEO of Scribe. Never gives up. Strong business background - McKinsey, Harvard MBA. Techie at heart - PM at Pocket Gems, Storm8, EE Major from IIT Bombay.","Harvard Business School; Indian Institute Of Technology - Bombay","","New York City; San Francisco"
"77","tryscribe","sachinbhat","Founder","","University of California San Diego (UCSD); Indian Institute Of Technology At Bombay (Iit Bombay)","",""
"78","golorry-1","sanjaymandava","Founder","Unbounded","International University of Monaco","",""
"80","golorry-1","zjlin","Founder","Get things done","Carnegie Mellon University","",""
"81","tushky-com","krantiagrawal","","Founder @tushky.com, Tech and Mgt Grad. Serial entrepreneur, Start up exp in media,softwares,consultancy, 8 +yrs corporate Exp in BD, Ops, PM. Theatre Artist.","","","Sales and Marketing; Project Management; Media Relations; Product Strategy; New Product Development; Business Analysis"
"83","tushky-com","kunalsharma","","IIT Bombay alumnus, Entrepreneur, Angel Investor; Co-founder, Director Mexus Education; Founder, Angel and Advisor, Tushky.com; Founder, Advisor, Gloob Decor","Indian Institute Of Technology - Bombay","","Product Design & Architecture; Content Strategy; Content Management; Digital Media; Sales and Marketing; Product Strategy"
"84","kisan-network","adityaagarwalla","CEO","Founder @Kisan Network • @Y Combinator alum • Thiel Fellow 2016 • @Princeton University • Formerly @Qurious , @One Kings Lane","The Thiel Foundation; Y Combinator; Princeton University; Delhi Public School Rk Puram","San Francisco Bay Area; Delhi",""
"86","kisan-network","sanjaykagarwalla","Founder","","","Asia; New York City; Silicon Valley",""
"88","hackerearth","sachingupta","","CEO & Founder at @HackerEarth, created a web startup out of college. Comp science graduate from @IITR, Ex- @Google Ex-@Microsoft Passionate about what I do","Indian Institute Of Technology - Roorkee","","C; C++; Python; Django; HTML; CSS; jQuery; CUDA Experience; C Sharp (C#); Matlab; Node.js; Git; Unix; AJAX; MySQL"
"89","hackerearth","sachingupta","","CEO & Founder at @HackerEarth, created a web startup out of college. Comp science graduate from @IITR, Ex- @Google Ex-@Microsoft Passionate about what I do","Motilal Nehru National Institute Of Technology","",""
"90","hackerearth","sachingupta","","CEO & Founder at @HackerEarth, created a web startup out of college. Comp science graduate from @IITR, Ex- @Google Ex-@Microsoft Passionate about what I do","Motilal Nehru National Institute Of Technology","Python; Django; jQuery",""
"91","hackerearth","vivekprakash","CTO","CTO & Co-founder of @HackerEarth. Building & scaling HackerEarth. Graduated from IIT Roorkee, India.","Indian Institute Of Technology - Roorkee","",""
"93","tradebriefs","sreevijaykumar","","Founder @TradeBriefs • Worked at @Deloitte, @IBM Global Business Services • Studied at @Carnegie Mellon University, @Columbia University,@iit-bombay","Carnegie Mellon University; Columbia University; Indian Institute Of Technology - Bombay; Columbia Business School","","Retail Industry in India; Email Marketing; Management Consulting; B2B Marketing; Supply Chain Management"
"95","meesho","viditaatrey","","Founder and CEO @Meesho @Y Combinator 2016 alum, Product guy• Worked at @InMobi, @ITC • Studied at @Indian Institute of Technology - Delhi","Indian Institute of Technology - Delhi; Y Combinator","",""
"97","meesho","sanjeevbarnwal","","Founder @Meesho 3 years of experience in Software Dev, Web, Architecture Design, Android • Worked at @Sony, @Sony mobile Japan • Studied at @IIT Delhi","","",""
"98","simpa-networks-1","paulneedham","","@Simpa Networks prez and co-founder. Serial entrepreneur with 12+ yrs CEO and VP level roles at private and public companies, including @Microsoft","University of Cambridge","","India; San Francisco; Vancouver; Bengaluru"
"99","simpa-networks-1","jacobwiniecki","","Energy access specialist with 6+ years of field experience in Asia and Africa. Co-Founder of @Simpa Networks and founding member of Arc Finance.","","India; Bengaluru; San Francisco; Helsinki; New York City",""
"100","simpa-networks-1","karthikmeda","","Vice President, Finance at @Simpa Networks","","",""
"101","simpa-networks-1","shashikumaraswamy","","Founder @everythingECO, former Vice President, Technology at @Simpa Networks, formerly VP SW @mPortal","","",""
"102","videovibe","elishapriyadarshini","Founder","CBO & CO-Founder @kiddly","","",""
"103","pareto-3","priyasurya","","Founder @Pareto • 10+ years in financial inclusion and fintech. Worked at @The World Bank, @BIMA Mobile (Milvik) Harvard 2010","Harvard Kennedy School; Macaulay Honors College; Y Combinator","",""
"104","admission-table","manishkatyan","CEO","CEO of Admission Table • 2x entrepreneur • Full Stack Engineer with an MBA","Indian Institute Of Management Calcutta; Indian Institute Of Technology Kanpur","","Business Development; Customer Relationship Management; Distribution; Lead Generation; Market Research; Marketing Management; Product Management"
"105","admission-table","duleepdeosthale","VP and Co-Founder","Founder @Admission Table, VP @Manipal Global Education Services, Dean & Assoc. Prof @Marist College, Director @University of Alabama, Birmingham","University of California, Los Angeles; Indiana State University; Jawaharlal Nehru University; Universidad Central De Barcelona","",""
"107","webware","indrajitchowdhury","","Founder @Webware.io","","",""
"108","webware","coryyork","","Founded two startups: GCI Network out of Mumbai that operates in the giftcard space, and Webware.io a SAAS ""Do it for you"" digital commerce platform for SMB's.","","Toronto; Mumbai",""
"110","sheroes-2","saireechahal","","Founder @SHEROES India's premier go to for career and community for women. Helping women navigate careers and companies find better talent. Category creator.","Jawaharlal Nehru University","","Business Growth Strategy; Sales and Marketing; Managing People; Stakeholder Relations & Advocacy; Evangelist"
"111","limeroad","prashantmalik","Founder","CoFounder & CTO Limeroad , ex Facebook , CoCreator of Apache Cassandra","Indian Institute of Technology - Delhi","","Distributed Systems; Cassandra; Social Media; Big Data Infrastructure; Team Leadership; Incubation Expert"
"113","schooladmissions","pujaarora","COO","Founder SchoolAdmissions.in ( Edumitr Technologies ) • Studied at @Jesus & Mary College. Startup Leadership Program Fellow 2012.Like French, Singing, Food and Networking.","Jesus & Mary College","Clean Technology; Consumer Internet; Enterprise Software; Mobile; Health Care",""
"115","lafalafa","yoshagupta","","Founder LafaLafa.10 years in FinTech Mobile Payments @The World Bank, @Monitise, @PayMate (India) . Msc Finance @Hong Kong University of Science and Technology","Hong Kong University of Science and Technology; Lady Shri Ram College, Delhi University; Management Development Institute, Gurgaon; Lady Shriram College, University Of Delhi","",""
"117","chargebee","krish","","Founder & CEO @Chargebee • Worked at @Cognizant Technology Solutions, @Tata Consultancy Services","","","Payments; Subscription Businesses; Billing; SaaS; Cloud Computing; Consumer Internet; E-Commerce; Small and Medium Businesses; Startups; Online Rental; Angels"
"119","chargebee","thiyagarajant","","Co-founder. 8 years of exp with Zoho. Specializes in API design & app integration with strong framework driven approach to development of solutions.","","",""
"120","chargebee","rajaramansanthanam","","Co-founder. 10 years of experience in @Zoho. Specializes in usability, UI frameworks, Server / Applications Management and building cloud applications.","","",""
"121","chargebee","kps","","13 years of experience in Zoho with expertise in developing frameworks, security and UI design. Wide range of experience in building secure & scalable apps.","","",""
"122","zipdial","valeriewagoner","CEO","Emerging Markets Entrepreneur - Founder & CEO @ ZipDial","","","Entrepreneurship; Managing People; Go to Market Strategy; Ideation"
"124","zipdial","amiyapathak","","Founder @zipdial-2 • Worked at @I2 Technologies • Studied at @iit-kanpur","Indian Institute of Technology - Kanpur","",""
"126","zipdial","sanjayswamy","","Managing Partner, AngelPrime Partners","University of Washington","",""
"128","my-child","harshsongra","Founder","Founder @My Child • 19 Year Old. One of the youngest founders of a funded startup","Bhopal School Of Social Sciences","Asia; New York City; Silicon Valley",""
"129","my-child","aafreenansari","Founder","","","",""
"130","edukart","ishangupta","","Passionate entrepreneur. Early stage investor. MBA from Stanford. Engineer from Delhi Univ.","Stanford Graduate School of Business; University of Delhi","Delhi; India; Silicon Valley",""
"132","springboard","gautamtambay","Founder","Co-Founder & CEO, Springboard. Previously at InMobi, Bain, Capital One, Wharton and IIT.","Indian Institute of Technology - Delhi; Wharton School","India; San Francisco",""
"133","springboard","parulgupta","Founder","Co-founder, Springboard. OpenEd enthusiast. MIT Technology Review's Young Innovator. ex-IBM Research. IIT Bombay & UCLA Engineer.","","",""
"134","stride-ai","sendhilkumar","","Co-founder @Stride.AI • Worked at @Sasken Communication Technologies, @Dell • Studied at @Visvesvaraya Technological University","Visvesvaraya Technological University","","Bengaluru"
"135","stride-ai","vijaynadadur","CEO","Co-Founder & CEO, Stride.AI 
Techstars '16","University of Kentucky; Sir M Visveshwaraiah Institute Of Technology , Bangalore","","Data Science; Machine Learning; Natural Language Processing; Natural Language Understanding; Linguistics; Sales"
"137","signeasy","sunilpatro","Founder and CEO","Founder and CEO of SignEasy; Worked at Cleartrip, TokBox, Juniper Networks and Microsoft; Graduate Degrees from Purdue and IIT Kharagpur.","Purdue University; Indian Institute of Technology - Kharagpur","Clean Technology; Consumer Internet; Enterprise Software; Mobile; Health Care",""
"138","popxo","priyankagill","CEO","Founder & CEO, POPxo.com","King's College London","","Consumer Internet; Fashion; Social Media; Digital Media; E-Commerce; Restaurants; Bridging Online and Offline; Mobile Payments; B2B; Industrial; Logistics; Food and Beverages; Advertising"
"140","bottr","abhimanyugodara","","Founder @bottr.me. Managed portfolio investments @TLabs accelerator (worked with 40+ startups) / ex. strategy / Masters LSE & B.Tech IIT","London School of Economics; Indian Institute of Technology (BHU) - Varanasi","","All Markets"
"142","bottr","mayankagarwal","Founder","IIT CS, launched an Android App, working in Microsoft","Indian Institute of Technology - Jodhpur","",""
"143","fulfil-io","rituparnapanda","Product Manager","Co-Founder & Product Manager @ Fulfil.IO, believes in Agile Methodology, Teamwork, and Open Source Technology.","Jaipur Engineering College","",""
"145","fulfil-io","prakashpandey","Solutions Architect","Co-Founder & Head of Engineering @ Fulfil.IO","Uttarakhand Technical University; Computer Science","","Programming; Data Analysis; Databases; Solution Architect"
"146","fulfil-io","tarunbhardwaj","Co-Founder & Head of Platform","AWS and docker lover, Open source contributor, Co-founder, Head of Platform @Fulfil.IO","","","Docker; Python; Flask; Algorithms & Data Structures"
"148","fulfil-io","sharoonthomas","CEO","Engineer. Founder. CEO of Fulfil.IO #500strong B15
 
Passionate about making enterprise software available for small and mid-sized businesses.","Manchester Business School (Mbs); University of Manchester","Enterprise Resource Planning; Enterprise Software; Ecommerce",""
"149","fulfil-io","sharoonthomas","CEO","Engineer. Founder. CEO of Fulfil.IO #500strong B15
 
Passionate about making enterprise software available for small and mid-sized businesses.","Manchester Business School (Mbs); University of Manchester","Python; SaaS; E-Commerce; ERP; ERP Implementations; tryton; Docker; Amazon Web Services; SaaS Sales; Sales and Marketing; Growth Hacking","Enterprise Resource Planning; Enterprise Software; Ecommerce"
"151","culturealley","nishantpatni","","Founder CultureAlley. Past @Boston Consulting Group, @Enphase Energy. Kellogg MBA'12 (Beta Gamma Sigma honor); Engineer @Indian Institute Of Technology - Bombay","Kellogg School of Management; Indian Institute Of Technology - Bombay; China Europe International Business School","Product Management; Product Development; User Experience Design",""
"153","culturealley","pranshubhandari","","Co-founder, CultureAlley. Worked @Sun Microsystems, Pitney Bowes. Double gold medalist @Narsee Monjee Institute Of Management Studies (MBA 2009, Engineering)","Narsee Monjee Institute Of Management Studies","India",""
"155","cron-systems-1","tommykatzenellenbogen","CSO","14yr Israeli Air Force F-15 Aviator and a Cambridge MBA grad with VC, Product Management, and Business Dev experience. Drone and security expert.","University Of Cambridge, Judge Business School","","San Francisco Bay Area"
"156","cron-systems-1","tusharchhabra","CEO","Tushar is the C.E.O of CRON Systems, developing the next generation of intrusion detection systems, and encrypted communication networks.","","",""
"157","cron-systems-1","sauravagarwala","CTO","Saurav is CTO at CRON Systems and is a strong believer of the fact that when technology is amalgamated with art - a product is developed!","","","C; C++; Eclipse; Git; JSON; Matlab; Perl; Product Development; Python; Project Management; Svn"
"159","ourhealthmate","abhinavkrishna","","Founder @OurHealthMate.com • Worked at @Citigroup, @Merrill Lynch @MyCube • Studied at @National University of Singapore","National University of Singapore; Raffles Junior College; City Montessori School","","Quality Assurance; Product Development; Product Management; User Interface Design; Web Applications; Mobile; Trading; Software Development; Entrepreneur; Start-Ups; Analytics; Front-End Development; Social Media; Customer Relations; Team Building; Business Strategy; Digital Marketing; New Business Development"
"161","ourhealthmate","ayushbharti","Founder","","","",""
"162","ourhealthmate","sanjayhavaldar","Founder & COO","","","",""
"163","ourhealthmate","siddharthupadhyaya","Founder","14+ yrs exp spans stints in strategy, sales mgmt & product. Have worked in large retail firms as well as entrepreneurial ventures across design – product – ops","Indian Institute of Management - Ahmedabad; T A Pai Management Institute; National Institute of Fashion Technology","",""
"165","kartrocket","saahilgoel","","Founder @Bigfoot Retail Solutions. Strong business & tech experience. MS and MIS from Pitt 2009. Worked with Max India, Walmart, Highmark.","Mba And Ms Mis, Katz Scb, University Of Pittsburgh","","Product Development; Business Strategy; Financial Analysis; Technical Architecture; Software Development"
"167","kartrocket","visheshkhurana","Founder @Kartrocket(No.1 Ecommerce enablement platform in India)& Kraftly (India,s First Mobile Only C2C Commerce Platform)","Founder at Kraftly (India,s First Mobile only C2C Market Place) & Kartrocket (E-commerce Enablement Platform.)","Amity University; Amity Business School; Amity School of Business","","Serial Entrepreneur; Budgeting; Cold Calling; Contract Negotiations; Customer Service; Human Resources; Inventory; Management; Market Research; Marketing Management; Venture Capital"
"169","instamojo","sampadswain","CEO","Founder & CEO @Instamojo. 3x startups. 1 exit.","","","Team Building; Product Development; Biz Dev; Fundraising"
"170","instamojo","akashgehani","","Co-Founder @Instamojo 
Likes to shake things up.","Management Development Institute, Gurgaon","","India; Bengaluru"
"171","instamojo","adityasengupta","Founder","@Veermata Jijabai Technological Institute --> 
 @Indian Institute Of Technology - Bombay --> 
 @Instamojo.","Jai Hind College; Veermata Jijabai Technological Institute","",""
"172","hike","kavinbhartimittal","","Head of Strategy & Product, BSB. Creator, hike","","User Experience Design; Product Development; Strategy","Consumer Internet; Mobile; Film; Generation Y-Z; Social Media; Messaging; Families; iOS; Android; Productivity Software; Embedded Hardware and Software; NFC; Search; Maps; Email"
"174","pricebaba","ankurpagarwal","C2C","Building solutions for digital India. Co-founder @PriceBaba, @SahiGST - served over 100M since 2012!","Bhavans College","","Mumbai"
"175","times-internet","satyangajwani","","CEO of Times Internet, India's largest digital product co. We do news, biz news, music, video, local, commerce, deals, mobile, more. Stanford '07, live in India","Stanford University; Stanford University","India; Delhi",""
"176","transtutors-com","adityasinghal","","Founder @transtutors.com, askIITians • Worked at @Technopak Advisors • Studied at @Indian Institute of Technology - Delhi","Indian Institute of Technology - Delhi","Asia; New York City; Silicon Valley",""
"178","transtutors-com","nishantsinha","Founder","Founder and Director of TransTutors.com, AskIITians.com and TransWebTutors.com 
Has steered successful internet ventures right from the idea stage to scaling up","Indian Institute of Technology - Delhi","India",""
"179","urjakart","vikramvarshney","Director","Founded Urjakart.com, Indoi Systems (acquired), Windiva Energy","Delhi College of Engineering","","Embedded Systems; Entrepreneurship; Marketing Management"
"180","urjakart","gauravsinghrana","","Founder @Urjakart.com, @Indoi Systems (Acquired) • Worked @Cognizant Technology Solutions • Studied @Georgia Institute of Technology, @Delhi College of Engineering","Georgia Institute of Technology; Delhi College of Engineering","","Silicon Valley; Delhi; India"
"181","oyo-rooms","riteshagarwal","CEO and Founder","Founder & CEO- @OYO Rooms - India's #1 Marketplace and Private Label of Affordable Rooms. Thiel Fellow.","","",""
"182","shoto","sachindevduggal","CEO / Chief Wizard","Founder @Shoto @Nivio • Prev at @Deutsche Bank • Studied at @Massachusetts Institute of Technology, @Imperial College London Love our foundation to education 100m kids in 50 years. @World Economic Forum TP'09","Imperial College London; Massachusetts Institute of Technology","","C Sharp (C#); User Experience Design; Product Development; Product Marketing; Entrepreneurship; Creative Problem Solving; C; Cocoa; Amazon Web Services; Sales and Marketing; Visionary; Business Development; Unix/Win Administration and Scripting; Windows Server Administration; Brand and Identity Design"
"183","pragya-systems","ramjiraghavan","CEO","","University of Massachusetts, Amherst; Indian Institute of Technology - Madras","",""
"185","pragya-systems","ajaysharda","CTO","","Indore University; University of Delhi","",""
"187","wishup-1","vivekgupta","","","Iim Ahmedabad; Indian Institute of Technology - Madras","",""
"188","wishup-1","neeleshrangwani","Founder","","","Asia; New York City; Silicon Valley",""
"190","quickli","rohandiwan","Founder","Founder @Quickli • Worked at @Target • Studied at @Shivaji University","Shivaji University","",""
"192","quickli","sudhanshuaggarwal","Founder","Founder at @Quickli and @Fizzy Software. 
Ex-Product Manager at @Zynga (SF).
 
Interests include tech start-ups, product development, gaming and movies","University of Pennsylvania","Branding; Graphic Design; Logo Design; UI/UX Design; Web Design","Customer Support Tools; Customer Service; CRM; SaaS; Mobile; Mobile Games; 3D Printing"
"193","bitcoin-india-1","brettmason","Founder","Director BPR Investments P/L, Co Founder Bitcoin India, Board Mantis Energy, Invented MassBloc, Harcourts North Lakes, Jafa Enterprises, Inv in 22+ companies.","None","","Selling; Innovator; Inventor; Real Estate; Negotiating Skills"
"195","bitcoin-india-1","sykamreddy","","Founder - Bitcoin India™, a company to do business with US$82 Bn Remittance market at India ✈ i Lov Blockchain & Bitcoin","Anna University","","Bitcoin; Bitcoin Mining; bitcoin/blockchain; Bitcoin trading; Financial Exchanges; Trading Systems; Digital Wallet; Mobile Wallets; Programming; International Business; Project Management; Entrepreneur; Global Entrepreneurial Experience; Website Development/Design; Android Development; Back-End Development; Frontend Development; Full Stack Development; Mobile Development; Software Architecture; Web Development; iOS Development"
"197","uninstall-io","priteshvora","CBO","Founder and Chief Mischief Officer @Uninstall.io","West Bengal University Of Technology","",""
"198","uninstall-io","alokmishra","CEO","Founder Uninstall.IO, Notiphi and Spider.IO","Imperial College London; University of Edinburgh; Iit Kharagpur","","Product Management; Technology Strategy and Architecture; Predictive Analytics; Machine Learning, Data Science, Python, Perl, R; Big Data; High-Volume on-Line Transaction Systems; Python; Prolog; Haskell"
"200","uninstall-io","lennonteng","Founder","Co-founder of Notiφ (Notify).","Imperial College London; London School of Economics","",""
"201","grexit","nirajranjanrout","","Founder @Hiver • Worked at @Mentor Graphics • Studied at @Indian Institute of Technology - Kharagpur","Indian Institute of Technology - Kharagpur","",""
"202","grexit","niteshnandy","","IIT, B.Tech, Computer Sc. Built entire video platform for ntbmedia.com almost alone.","","",""
"203","vahan-1","madhavkrishna","","Founder & CEO at @Vahan. Worked at @ADstruc, @Jetsetter, @Nextjump. Masters in Computer Science (Artificial Intelligence) from @Columbia University.","Columbia University; Netaji Subhas Institute of Technology","Bengaluru",""
"205","vahan-1","mohammedabdoolcarim","Founder","Founder @Vahan • Worked at @Google, @Siri, @Apple @GoButler • Studied at @Stanford University.","Stanford University; Stanford University","","Product Development; Entrepreneurship; Mobile; User Experience Design; Product Management; Product Marketing; Consumer Products; Consumer Electronics; Artificial Intelligence; Virtual Assistant; UI/UX Design"
"206","brainnr-jatia-education-pvt-ltd","devavratjatia","","Founder @Brainnr • Studied at @Bryant University .MIT GSW Scholar. Strong business background with global exposure. Startup investor","Bryant University; Cass Business School","","Asia; Silicon Valley; India; Hong Kong"
"208","brainnr-jatia-education-pvt-ltd","ujjawalmisra","Founder","SDM @ZopNow 
Prev: Co-founder @Vedantu, Tech @Verse Innovation Pvt., Tech @Trilogy , Intern @VMLogix 
Studied: @IIIT Allahabad","","","Europe; Australia; Brazil"
"209","brainnr-jatia-education-pvt-ltd","ujjawalmisra","Founder","SDM @ZopNow 
Prev: Co-founder @Vedantu, Tech @Verse Innovation Pvt., Tech @Trilogy , Intern @VMLogix 
Studied: @IIIT Allahabad","Indian Institute of Information Technology - Allahabad","","Europe; Australia; Brazil"
